run_id,rmse_weight,mae_weight,rmse_reps,mae_reps,rmse_func_tested,mae_func_tested,data_count
Run1,11.32080507,7.174554116,6.838533236,4.190402933,15.8718424,12.1254713,
RunXYZ,11.44952721,7.326570579,6.734668439,4.167621299,11.44952721,7.326570579,12510.0
RunXYZ,11.30419893,7.237767311,6.758303346,4.196121491,11.30419893,7.237767311,12510.0
RunXYZ,11.41879272,7.261714646,6.605536663,4.122945334,8.369085144,6.572950882,0.0
Run_20250115_103146,11.51910409,7.34829611,6.581119792,4.084131103,8.505701745,6.940950142,0.0
Run_20250115_103747,11.50866666,7.280993691,6.758144304,4.171275155,8.988888821,6.941698168,0.0
Run_20250115_104237,11.64753769,7.341870763,6.681615949,4.164263926,8.199716831,6.142109147,0.0
Run_20250115_104842,11.42020138,7.244773044,6.897050766,4.205365941,8.480892985,6.628676151,0.0
Run_20250115_105257,11.30458965,7.237271848,6.821194631,4.22399016,9.707291194,7.254979976,0.0
Run_20250115_200341,8.619062689,5.56443576,7.183388077,4.444178275,5.662610299,4.929497628,0.0
Run_20250115_200802,11.18910097,7.104222781,6.837946778,4.211787971,8.973286048,6.992327619,0.0
Run_20250115_213150,11.36087144,7.340495676,6.611159729,4.104034655,8.398534286,6.492927079,0.0
15/1/25 21:55,11.52009878,7.394148653,6.711001367,4.142395726,2.726381158,0.739089109,12510.0
15/1/25 22:06,11.81724918,8.05409065,6.855542323,4.215829258,8.264079859,4.022019802,12510.0
15/1/25 22:07,12.00539352,8.075924439,6.781551636,4.181145343,4.721005464,1.559207921,12510.0
15/1/25 22:09,11.70738523,7.867981983,6.818731808,4.197939386,5.740474855,2.14360396,12510.0
15/1/25 22:11,11.76262006,7.780920377,6.631312584,4.128719678,5.176745443,2.003643564,12510.0
15/1/25 22:12,11.66812293,7.799202575,6.734323631,4.164953349,5.55249945,2.030653465,12510.0
15/1/25 22:13,11.78434014,7.876273138,6.670419381,4.146955528,4.505177519,1.770376238,12510.0
15/1/25 22:16,12.05734124,8.07810637,6.806520919,4.188319229,4.556385053,1.485544554,12510.0
15/1/25 22:31,11.99645213,7.999065789,6.737610364,4.158819696,6.495587535,2.492277228,12510.0
15/1/25 23:54,12.09197629,8.035295487,6.708006389,4.162862521,4.033450313,1.291564356,12510.0
2025-01-17 17:03:54,11.726177321609258,7.868047421610412,6.868863152976448,4.213097833138393,3.545284571521633,1.1074059405940606,12510.0
2025-01-20 19:18:51,12.095436337957436,8.035037849581135,6.7233149793647335,4.153734866546971,5.605356250326072,2.023287128712879,12510.0
2025-01-20 19:21:01,12.554797341391176,8.257489178624212,6.727082546529664,4.134088089883762,4.842590584011473,1.4388910891089155,12510.0
2025-01-20 19:24:02,12.359162440565774,8.169483341113914,6.803135086673788,4.22853200814011,4.424263183047701,1.5665742574257464,12510.0
2025-01-20 19:28:10,11.874579612078811,7.960505686601226,6.735854650821671,4.184163443763964,6.686945106061912,2.3670495049505007,12510.0
2025-01-20 19:29:51,11.970728694704544,7.997422913061137,6.732345239741919,4.1391369052299405,3.146283402289881,0.6678811881188134,12510.0
2025-01-20 19:41:16,12.190176156989509,8.206067527537938,6.602622192176614,4.110268932080985,4.586987846610296,1.4732673267326757,12510.0
2025-01-20 19:43:25,12.136839850338264,8.089096387079929,6.632566512922349,4.099224163483048,4.836771200249657,1.3824158415841614,12510.0
2025-01-20 20:15:38,11.98663670723388,8.093684192232212,6.745957648735425,4.2001827801792455,6.236967021218132,2.322851485148521,12510.0
2025-01-20 20:18:03,12.293401281095884,8.299283421818618,6.701626774755101,4.13108211643749,4.655509211654726,1.4143366336633685,12510.0
2025-01-20 20:20:34,12.690097637760704,8.455607253476025,6.760150653726023,4.167988072217318,8.048838883114565,3.1920792079208,12510.0
2025-01-20 20:27:20,12.43683024537861,8.356506777821151,6.80107882391935,4.214886682948414,5.899410408533814,2.2369108910891167,12510.0
2025-01-20 20:29:30,12.485263453174763,8.472215399335427,6.714472138274069,4.153042300089667,3.3593712282963044,0.9060594059405972,12510.0
2025-01-20 20:31:41,12.533365471959964,8.495931310954836,6.637100198963343,4.104039438145192,6.338847644907296,2.5340198019802056,12510.0
2025-01-20 20:40:07,12.660253978789177,8.534117886917755,6.8126086023770585,4.25575510502961,9.032427775783916,3.801029702970305,12510.0
2025-01-20 20:46:04,14.063621805602455,9.586716786672422,6.7022012591659,4.13258108670663,9.461854146053428,3.9827326732673343,12510.0
2025-01-20 20:47:42,13.266762964962597,9.065563469007524,6.726308570146916,4.171253406487562,5.7089621119814575,2.4603564356435714,12510.0
2025-01-20 20:49:30,13.398407544828338,9.169797979297766,6.838653821400718,4.208832536506759,3.3247059097217395,0.962534653465348,12510.0
2025-01-20 20:51:27,13.785820558259356,9.42860375623708,6.703347664394182,4.095984251803955,5.525977879502657,2.1362376237623835,12510.0
2025-01-20 21:12:10,13.554298292386814,9.309619185996832,6.876241965120731,4.252036762807317,8.072786506541496,3.476910891089119,12510.0
2025-01-20 21:23:19,13.49702954082516,9.267821628122178,6.724332841493044,4.161722925528824,3.583383124068856,1.1319603960396074,12510.0
2025-01-20 21:26:16,13.624728166781304,9.273878224531172,6.794238254620873,4.201983888620075,6.178600693899361,2.2148118811881257,12510.0
2025-01-20 21:27:59,13.776224894480857,9.394452392612862,6.769115969660721,4.177042580540065,7.954700738656636,3.501465346534661,12510.0
2025-01-20 21:46:17,13.88412767899634,9.402606126063796,6.811144638723668,4.178200439981847,5.116966768593597,1.8243960396039645,12510.0
