Exercise,Code,Week #,Set #,# of Reps,Multiplier of Max,Relevant Core
Hex-Bar Deadlift,14,1,3,10,0.8,Hex-Bar Deadlift
Hex-Bar Deadlift,14,2,1,3,0.675,Hex-Bar Deadlift
Hex-Bar Deadlift,14,2,2,3,0.725,Hex-Bar Deadlift
Hex-Bar Deadlift,14,2,3,8,0.825,Hex-Bar Deadlift
Hex-Bar Deadlift,14,3,1,5,0.7,Hex-Bar Deadlift
Hex-Bar Deadlift,14,3,2,3,0.75,Hex-Bar Deadlift
Hex-Bar Deadlift,14,3,3,7,0.85,Hex-Bar Deadlift
Incline Bench,15,2,1,3,0.61,Bench
Incline Bench,15,2,2,3,0.66,Bench
Incline Bench,15,2,3,8,0.76,Bench
Close-Grip Bench,16,3,1,5,0.6675,Bench
Close-Grip Bench,16,3,2,3,0.7175,Bench
Close-Grip Bench,16,3,3,7,0.7925,Bench
