run_id,rmse_weight,mae_weight,rmse_reps,mae_reps,rmse_func_tested,mae_func_tested,data_count
Run1,11.320805066020377,7.174554115625307,6.838533235554681,4.190402932964331,15.871842395240195,12.12547130175294,
RunXYZ,11.449527209511292,7.326570579467058,6.734668438608907,4.167621298969943,11.449527209511292,7.326570579467058,12510.0
RunXYZ,11.304198925283302,7.237767311088271,6.75830334579349,4.196121491369231,11.304198925283302,7.237767311088271,12510.0
RunXYZ,11.418792717248088,7.261714646369955,6.605536662639719,4.122945334032456,8.369085144295143,6.572950882184571,0.0
Run_20250115_103146,11.519104086999878,7.348296110338234,6.581119791851125,4.084131103203919,8.505701745497683,6.940950142275824,0.0
Run_20250115_103747,11.50866666396353,7.280993690687028,6.758144303790062,4.171275155306443,8.988888820982243,6.941698167672989,0.0
Run_20250115_104237,11.64753768638377,7.3418707631323,6.681615949276088,4.164263926166842,8.19971683062006,6.14210914671801,0.0
Run_20250115_104842,11.420201376757834,7.244773044033668,6.897050766432841,4.205365940876586,8.480892985095693,6.628676151305336,0.0
Run_20250115_105257,11.304589651808106,7.237271847737878,6.821194631219608,4.22399016034946,9.707291194137255,7.254979976428149,0.0
Run_20250115_200341,8.619062689152955,5.56443576004855,7.183388076863135,4.444178275085525,5.66261029901967,4.9294976275153015,0.0
Run_20250115_200802,11.1891009687404,7.104222781244107,6.8379467780169705,4.211787971135586,8.973286048420258,6.992327619478582,0.0
Run_20250115_213150,11.36087144383144,7.340495675928589,6.6111597292499,4.104034654959512,8.398534286313913,6.49292707935284,0.0
2025-01-15 21:55:29,11.520098775326392,7.394148653308063,6.711001366880501,4.142395726388302,2.7263811578394166,0.7390891089108924,12510.0
2025-01-15 22:06:32,11.81724917502998,8.05409064966063,6.855542322785642,4.215829258356055,8.264079859294219,4.022019801980207,12510.0
2025-01-15 22:07:59,12.005393522831268,8.075924439246707,6.781551635673052,4.181145343321503,4.72100546431156,1.559207920792085,12510.0
2025-01-15 22:09:26,11.707385225902158,7.867981983430877,6.818731807973903,4.197939386257025,5.740474855302183,2.1436039603960455,12510.0
2025-01-15 22:11:01,11.762620060474909,7.780920376846862,6.631312583931897,4.12871967768625,5.1767454434363325,2.0036435643564436,12510.0
2025-01-15 22:12:31,11.66812292827021,7.799202574757064,6.734323631330516,4.1649533490942945,5.5524994496725535,2.0306534653465396,12510.0
2025-01-15 22:13:32,11.78434013585838,7.8762731377505055,6.670419380813486,4.146955528284404,4.505177518727495,1.7703762376237666,12510.0
2025-01-15 22:16:23,12.057341242817555,8.078106369976174,6.806520919393147,4.188319228762431,4.556385053139763,1.4855445544554515,12510.0
2025-01-15 22:31:37,11.99645213220181,7.9990657891869255,6.7376103638418305,4.158819695599045,6.4955875350689265,2.4922772277227794,12510.0
